"STATION","NAME","DATE","PRCP","SNWD","TAVG","TMAX","TMIN"
"KZ000036870","ALMATY, KZ","1960-01-01","0.00",,"28","43","16"
"KZ000036870","ALMATY, KZ","1960-01-02","0.00",,"35","48","27"
"KZ000036870","ALMATY, KZ","1960-01-03","0.00",,"27","38","20"
"KZ000036870","ALMATY, KZ","1960-01-04","0.00",,"31","40","18"
"KZ000036870","ALMATY, KZ","1960-01-05","0.02",,"30","47","29"
"KZ000036870","ALMATY, KZ","1960-01-06","0.12",,"24","36","20"
"KZ000036870","ALMATY, KZ","1960-01-07","0.00",,"26","35","21"
"KZ000036870","ALMATY, KZ","1960-01-08","0.00",,"25","32","19"
"KZ000036870","ALMATY, KZ","1960-01-09","0.00",,"23","43","13"
"KZ000036870","ALMATY, KZ","1960-01-10","0.00",,"33","46","26"
"KZ000036870","ALMATY, KZ","1960-01-11","0.00",,"40","55","27"
"KZ000036870","ALMATY, KZ","1960-01-12","0.36",,"25","42","22"
"KZ000036870","ALMATY, KZ","1960-01-13","0.00",,"20","29","13"
"KZ000036870","ALMATY, KZ","1960-01-14","0.02",,"15","22","7"
"KZ000036870","ALMATY, KZ","1960-01-15","0.00",,"19","33","9"
"KZ000036870","ALMATY, KZ","1960-01-16","0.00",,"31","45","21"
"KZ000036870","ALMATY, KZ","1960-01-17","0.07",,"32","38","25"
"KZ000036870","ALMATY, KZ","1960-01-18","0.00",,"21","29","17"
"KZ000036870","ALMATY, KZ","1960-01-19","0.35",,"24","34","15"
"KZ000036870","ALMATY, KZ","1960-01-20","0.01",,"21","24","18"
"KZ000036870","ALMATY, KZ","1960-01-21","0.01",,"16","23","13"
"KZ000036870","ALMATY, KZ","1960-01-22","0.01",,"11","18","7"
"KZ000036870","ALMATY, KZ","1960-01-23","0.01",,"4","21","-7"
"KZ000036870","ALMATY, KZ","1960-01-24","0.00",,"22","37","6"
"KZ000036870","ALMATY, KZ","1960-01-25","0.00",,"36","48","25"
"KZ000036870","ALMATY, KZ","1960-01-26","0.00",,"31","41","24"
"KZ000036870","ALMATY, KZ","1960-01-27","0.08",,"32","35","25"
"KZ000036870","ALMATY, KZ","1960-01-28","0.00",,"28","31","25"
"KZ000036870","ALMATY, KZ","1960-01-29","0.22",,"25","29","21"
"KZ000036870","ALMATY, KZ","1960-01-30","0.00",,"22","32","12"
"KZ000036870","ALMATY, KZ","1960-01-31","0.00",,"26","37","18"
"KZ000036870","ALMATY, KZ","1960-02-01","0.00",,"29","44","18"
"KZ000036870","ALMATY, KZ","1960-02-02","0.00",,"31","47","27"
"KZ000036870","ALMATY, KZ","1960-02-03","0.00",,"33","42","24"
"KZ000036870","ALMATY, KZ","1960-02-04","0.00",,"39","51","27"
"KZ000036870","ALMATY, KZ","1960-02-05","0.02",,"47","53","38"
"KZ000036870","ALMATY, KZ","1960-02-06","0.00",,"32","48","29"
"KZ000036870","ALMATY, KZ","1960-02-07","0.20",,"35","42","28"
"KZ000036870","ALMATY, KZ","1960-02-08","0.00",,"33","40","30"
"KZ000036870","ALMATY, KZ","1960-02-09","0.04",,"25","33","23"
"KZ000036870","ALMATY, KZ","1960-02-10","0.00",,"28","37","18"
"KZ000036870","ALMATY, KZ","1960-02-11","0.03",,"28","41","22"
"KZ000036870","ALMATY, KZ","1960-02-12","0.05",,"18","22","14"
"KZ000036870","ALMATY, KZ","1960-02-13","0.00",,"16","24","10"
"KZ000036870","ALMATY, KZ","1960-02-14","0.00",,"30","38","16"
"KZ000036870","ALMATY, KZ","1960-02-15","0.00",,"24","34","18"
"KZ000036870","ALMATY, KZ","1960-02-16","0.00",,"24","31","20"
"KZ000036870","ALMATY, KZ","1960-02-17","0.00",,"25","35","17"
"KZ000036870","ALMATY, KZ","1960-02-18","0.00",,"26","35","20"
"KZ000036870","ALMATY, KZ","1960-02-19","0.00",,"29","42","20"
"KZ000036870","ALMATY, KZ","1960-02-20","0.00",,"37","50","28"
"KZ000036870","ALMATY, KZ","1960-02-21","0.00",,"41","51","36"
"KZ000036870","ALMATY, KZ","1960-02-22","0.01",,"36","46","31"
"KZ000036870","ALMATY, KZ","1960-02-23","0.07",,"19","32","14"
"KZ000036870","ALMATY, KZ","1960-02-24","0.40",,"18","23","13"
"KZ000036870","ALMATY, KZ","1960-02-25","0.00",,"19","26","14"
"KZ000036870","ALMATY, KZ","1960-02-26","0.00",,"22","30","17"
"KZ000036870","ALMATY, KZ","1960-02-27","0.00",,"22","30","16"
"KZ000036870","ALMATY, KZ","1960-02-28","0.00",,"24","30","20"
"KZ000036870","ALMATY, KZ","1960-02-29","0.00",,"33","47","24"
