"STATION","NAME","DATE","PRCP","SNWD","TAVG","TMAX","TMIN"
"KZ000035188","ASTANA, KZ","1960-01-01","0.00",,"14","20","12"
"KZ000035188","ASTANA, KZ","1960-01-02","0.02",,"8","17","-4"
"KZ000035188","ASTANA, KZ","1960-01-03","0.00",,"0","9","-12"
"KZ000035188","ASTANA, KZ","1960-01-04","0.00",,"15","20","7"
"KZ000035188","ASTANA, KZ","1960-01-05","0.11",,"14","20","11"
"KZ000035188","ASTANA, KZ","1960-01-06","0.02",,"10","13","7"
"KZ000035188","ASTANA, KZ","1960-01-07","0.04",,"16","17","13"
"KZ000035188","ASTANA, KZ","1960-01-08","0.00",,"17","19","14"
"KZ000035188","ASTANA, KZ","1960-01-09","0.00",,"13","18","9"
"KZ000035188","ASTANA, KZ","1960-01-10","0.09",,"26","30","15"
"KZ000035188","ASTANA, KZ","1960-01-11","0.03",,"18","30","14"
"KZ000035188","ASTANA, KZ","1960-01-12","0.05",,"18","23","15"
"KZ000035188","ASTANA, KZ","1960-01-13","0.02",,"8","19","-5"
"KZ000035188","ASTANA, KZ","1960-01-14","0.06",,"13","18","-1"
"KZ000035188","ASTANA, KZ","1960-01-15","0.02",,"15","18","14"
"KZ000035188","ASTANA, KZ","1960-01-16","0.00",,"-6","14","-19"
"KZ000035188","ASTANA, KZ","1960-01-17","0.00",,"-16","-4","-28"
"KZ000035188","ASTANA, KZ","1960-01-18","0.00",,"-1","7","-8"
"KZ000035188","ASTANA, KZ","1960-01-19","0.00",,"4","8","-1"
"KZ000035188","ASTANA, KZ","1960-01-20","0.00",,"-8","0","-12"
"KZ000035188","ASTANA, KZ","1960-01-21","0.00",,"-6","3","-12"
"KZ000035188","ASTANA, KZ","1960-01-22","0.00",,"-1","7","-10"
"KZ000035188","ASTANA, KZ","1960-01-23","0.00",,"4","13","-3"
"KZ000035188","ASTANA, KZ","1960-01-24","0.00",,"3","11","0"
"KZ000035188","ASTANA, KZ","1960-01-25","0.00",,"2","13","-8"
"KZ000035188","ASTANA, KZ","1960-01-26","0.00",,"19","22","10"
"KZ000035188","ASTANA, KZ","1960-01-27","0.06",,"10","22","-2"
"KZ000035188","ASTANA, KZ","1960-01-28","0.01",,"6","13","-6"
"KZ000035188","ASTANA, KZ","1960-01-29","0.06",,"17","18","13"
"KZ000035188","ASTANA, KZ","1960-01-30","0.09",,"17","29","1"
"KZ000035188","ASTANA, KZ","1960-01-31",,,"-2","15","-16"
"KZ000035188","ASTANA, KZ","1960-02-01","0.03",,"26","28","15"
"KZ000035188","ASTANA, KZ","1960-02-02","0.09",,"27","37","16"
"KZ000035188","ASTANA, KZ","1960-02-03","0.00",,"5","16","0"
"KZ000035188","ASTANA, KZ","1960-02-04","0.06",,"0","3","-3"
"KZ000035188","ASTANA, KZ","1960-02-05","0.00",,"-11","-2","-16"
"KZ000035188","ASTANA, KZ","1960-02-06","0.00",,"-18","-8","-26"
"KZ000035188","ASTANA, KZ","1960-02-07","0.00",,"-18","-3","-27"
"KZ000035188","ASTANA, KZ","1960-02-08","0.00",,"-1","5","-16"
