"STATION","NAME","DATE","PRCP","SNWD","TAVG","TMAX","TMIN"
"KZ000035394","KARAGANDA, KZ","1960-01-01","0.00",,"17","22","10"
"KZ000035394","KARAGANDA, KZ","1960-01-02","0.00",,"11","14","7"
"KZ000035394","KARAGANDA, KZ","1960-01-03","0.00",,"8","12","0"
"KZ000035394","KARAGANDA, KZ","1960-01-04","0.02",,"19","25","8"
"KZ000035394","KARAGANDA, KZ","1960-01-05","0.13",,"16","24","8"
"KZ000035394","KARAGANDA, KZ","1960-01-06","0.08",,"8","11","5"
"KZ000035394","KARAGANDA, KZ","1960-01-07","0.02",,"11","13","5"
"KZ000035394","KARAGANDA, KZ","1960-01-08","0.04",,"9","14","2"
"KZ000035394","KARAGANDA, KZ","1960-01-09","0.00",,"10","17","2"
"KZ000035394","KARAGANDA, KZ","1960-01-10","0.14",,"26","32","17"
"KZ000035394","KARAGANDA, KZ","1960-01-11","0.04",,"28","30","27"
"KZ000035394","KARAGANDA, KZ","1960-01-12","0.04",,"20","28","13"
"KZ000035394","KARAGANDA, KZ","1960-01-13","0.03",,"3","14","-3"
"KZ000035394","KARAGANDA, KZ","1960-01-14","0.01",,"12","18","-3"
"KZ000035394","KARAGANDA, KZ","1960-01-15","0.00",,"15","22","10"
"KZ000035394","KARAGANDA, KZ","1960-01-16","0.00",,"8","15","-3"
"KZ000035394","KARAGANDA, KZ","1960-01-17","0.00",,"-9","0","-18"
"KZ000035394","KARAGANDA, KZ","1960-01-18","0.00",,"-1","9","-10"
"KZ000035394","KARAGANDA, KZ","1960-01-19","0.00",,"5","12","-1"
"KZ000035394","KARAGANDA, KZ","1960-01-20","0.00",,"-6","5","-17"
"KZ000035394","KARAGANDA, KZ","1960-01-21","0.00",,"-4","11","-18"
"KZ000035394","KARAGANDA, KZ","1960-01-22","0.00",,"0","8","-9"
"KZ000035394","KARAGANDA, KZ","1960-01-23","0.00",,"6","14","-4"
"KZ000035394","KARAGANDA, KZ","1960-01-24","0.00",,"10","16","1"
